keyword,competitiveness,difficulty_score,organic_rank,organic_clicks,organic_ctr,paid_clicks,paid_ctr,ad_spend,ad_conversions,ad_roas,conversion_rate,cost_per_click,cost_per_acquisition,previous_recommendation,impression_share,conversion_value
Keyword_0,0.3745401188473625,0.18513292883861965,7,919,0.2803735998863745,1759,0.19380842215900757,9644.677473884129,389,4.938574653248729,0.1494279887721209,1.3953393773533158,38.064553244775134,0,0.4100516696282155,5364.295458983578
Keyword_1,0.9507143064099162,0.5419009473783581,3,935,0.2250647596410178,1860,0.029011156002008993,7181.527099713766,88,1.9184753181977872,0.2976846311250823,6.7905351938530565,471.46003629732195,1,0.6631004625684338,8353.623541788926
Keyword_2,0.7319939418114051,0.8729458358764083,7,2051,0.09103060641106087,1500,0.021294011070404534,9926.329229044173,448,1.018854906525722,0.2091286227726708,5.642843339212139,493.22683692464636,1,0.9193699806203045,6157.9255210138535
Keyword_3,0.5986584841970366,0.7322248864095612,8,1333,0.048179540750044936,903,0.014667532088339482,6986.396333081233,280,0.9814606752858049,0.25399346367850756,7.917768776548281,48.84124604341464,0,0.346591540425331,6337.884195450022
Keyword_4,0.15601864044243652,0.8065611478614497,10,669,0.25786400052702724,1400,0.05531056666562667,2945.006761836732,256,3.7375698545148737,0.13030580590255827,7.4141699957789955,149.1798985165898,1,0.554605046623607,5410.302890628115
Keyword_5,0.15599452033620265,0.6587833667107174,6,932,0.05793766298000877,153,0.10945801545243883,6723.8048796485655,159,4.345558988146884,0.23267966770649803,6.289594185189399,189.3383296875013,1,0.9628215885205798,9272.656326314092
Keyword_6,0.05808361216819946,0.6922765645178525,10,846,0.25773562880922735,393,0.2345982720166775,7024.5460843170695,489,1.6562853477881143,0.02174766015298333,9.865183499126033,389.3137274830994,0,0.2551565289686074,9319.026844206033
Keyword_7,0.8661761457749352,0.8491956515653193,9,3692,0.15232185194658454,2273,0.1196943182237863,3723.5525763184414,233,0.5940928055085574,0.04564424293725104,5.382538328093045,299.98377199778326,0,0.7476975330370403,5127.232010735522
Keyword_8,0.6011150117432088,0.24966800885918594,6,3475,0.12790146730435023,2381,0.07966122528940706,186.96136758779625,130,1.5039050830041012,0.06889047194681801,1.2197469893670265,323.9610217438208,0,0.6530329073826842,3057.5948714350443
Keyword_9,0.7080725777960455,0.4894249636431405,9,1346,0.2719253258619844,226,0.1448644608447192,7034.965849907115,48,0.754320608585408,0.12656605813841368,8.299908291678285,379.96736229516046,0,0.7117076180265713,4595.870058794439
Keyword_10,0.020584494295802447,0.22120944181960223,4,4764,0.1851167849366806,1525,0.036864298752349416,226.7839518026608,146,0.9652772148351868,0.2552660147144713,2.5933482872225193,63.399604721327734,0,0.4160976676008127,1865.5791219561568
Keyword_11,0.9699098521619943,0.987668007996647,8,294,0.17721806206761814,2240,0.15628141384119598,6315.568899820111,315,2.441786539314391,0.11041715472849983,7.795291266624791,417.43868117057986,1,0.3824914361353885,6363.443153180893
Keyword_12,0.8324426408004217,0.9440593396866133,4,2945,0.17204212394107532,2327,0.1464236690393208,1644.5287225381253,490,1.5346326688773466,0.19984014611948422,9.575360250400509,354.2818030691713,1,0.7157887035295334,5000.923357822332
Keyword_13,0.21233911067827616,0.0394268113685059,2,979,0.1176391596456641,1500,0.20007832801737033,5660.379242202953,412,2.8217564533644053,0.21570114549301017,6.998275588246979,290.7841539722033,0,0.29398895659409086,1033.004778132799
Keyword_14,0.18182496720710062,0.7055751725156885,10,569,0.2378365000234469,2927,0.2468050267880858,5044.091123552194,433,1.6407218896573568,0.179992882685619,6.000698593403031,445.41899071761304,1,0.4776892703731046,1976.4778111961534
Keyword_15,0.18340450985343382,0.9252483174156658,9,3262,0.08331154876457417,1645,0.07020963321186652,145.0012866387639,1,4.7324178549632645,0.11360017076933948,4.657823139182901,351.6516451724845,1,0.2693571814476262,4796.3195619952685
Keyword_16,0.3042422429595377,0.18057534512733353,5,2459,0.28227953841196973,2524,0.13231754819290256,3635.0295117810833,328,4.576747855668191,0.17734546909692783,3.7076576733544924,104.84148150235758,0,0.10747435701099678,8875.889907188583
Keyword_17,0.5247564316322378,0.5679452305526295,4,57,0.2692557094636186,2362,0.22812769751656087,6014.900762289065,439,3.050627472547097,0.10925702190902639,3.594747034621179,217.72396363245502,0,0.9730516240342625,5663.907206310974
Keyword_18,0.43194501864211576,0.9154882975880418,2,2575,0.10786929444572045,1177,0.1984455722614819,8487.57945346881,144,2.0949079639432377,0.0343233841800835,6.400089786524947,249.55121913318797,0,0.48853268079077716,6815.350002084708
Keyword_19,0.2912291401980419,0.03394597858579884,1,3473,0.22154449325118247,120,0.1269775127441938,8887.534717226807,443,2.21516096915631,0.29791315367394416,7.537603857683684,32.332725241450795,1,0.9724146529778427,3390.285497439097
Keyword_20,0.6118528947223795,0.6974202672468399,7,2069,0.1762347263903815,1023,0.23688919590754667,4843.6612006319,365,2.3533352741502362,0.046882911553428164,6.817318987895702,477.5455691132276,0,0.2262911677910435,5714.113930442342
